data_inversa;dia_semana;br;km;causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;mortos;ilesos;feridos;latitude;longitude
2007-02-01;terça;174;9.3;Falta de atenção;Saída de Pista;pleno dia;chuva;0;0;1;;
2007-02-01;terça;174;7.9;Outras;Colisão traseira;anoitecer;chuva;0;4;0;;
2007-07-01;domingo;174;52.1;Defeito na via;Capotamento;pleno dia;sol;0;0;2;;
2007-11-01;quinta;174;85.8;Outras;Incêndio;anoitecer;nevoeiro/neblina;0;1;0;;
2007-01-19;sexta;174;3.3;Falta de atenção;Colisão lateral;pleno dia;ceu claro;0;2;0;;
2007-01-20;sábado;319;0.9;Falta de atenção;Colisão lateral;pleno dia;nublado;0;2;0;;
2007-01-21;domingo;174;43.3;Não guardar distância de segurança;Colisão traseira;pleno dia;ceu claro;0;9;0;;
2007-01-29;segunda;174;17.9;Outras;Colisão com objeto fixo;plena noite;ceu claro;0;0;4;;
2007-01-02;quinta;174;858.3;Outras;Colisão traseira;pleno dia;sol;0;1;1;;
2007-01-30;terça;174;18.0;Defeito na via;Colisão com objeto fixo;plena noite;ceu claro;0;5;0;;
2007-02-02;sexta;174;858.5;Outras;Colisão Transversal;pleno dia;ceu claro;0;2;0;;
2007-02-02;sexta;174;25.8;Outras;Saída de Pista;plena noite;ceu claro;0;2;0;;
2007-03-02;sábado;174;39.2;Velocidade incompatível;Colisão traseira;anoitecer;ceu claro;1;0;3;;
2007-09-02;sexta;174;858.5;Falta de atenção;Colisão traseira;pleno dia;sol;0;2;0;;
2007-10-02;sábado;174;13.7;Outras;Capotamento;pleno dia;chuva;0;1;0;;
2007-02-19;segunda;174;22.4;Outras;Colisão traseira;pleno dia;sol;0;2;0;;
2007-02-20;terça;174;4.9;Outras;Colisão frontal;plena noite;chuva;0;2;0;;
2007-02-20;terça;319;0.4;Falta de atenção;Colisão com objeto fixo;plena noite;nublado;0;0;1;;
2007-02-20;terça;174;3.5;Não guardar distância de segurança;Colisão traseira;anoitecer;chuva;0;4;0;;
2007-02-17;sábado;174;45.0;Falta de atenção;Saída de Pista;pleno dia;ceu claro;0;2;2;;
2007-02-27;terça;319;1.0;Outras;Colisão com objeto fixo;pleno dia;chuva;0;1;0;;
2007-02-26;segunda;319;0.3;Falta de atenção;Colisão traseira;pleno dia;sol;0;2;0;;
2007-03-03;sábado;174;28.0;Velocidade incompatível;Colisão traseira;plena noite;chuva;0;2;0;;
2007-02-27;terça;174;22.2;Ingestão de álcool;Saída de Pista;amanhecer;chuva;0;1;0;;
2007-03-16;sexta;174;53.0;Defeito na via;Capotamento;plena noite;ceu claro;0;1;0;;
2007-03-25;domingo;174;3.8;Outras;Saída de Pista;pleno dia;ceu claro;0;1;0;;
2007-01-04;domingo;174;35.0;Ultrapassagem indevida;Capotamento;pleno dia;ceu claro;0;1;0;;
2007-08-04;domingo;174;57.5;Dormindo;Saída de Pista;plena noite;nublado;0;1;0;;
2007-08-04;domingo;174;29.7;Outras;Atropelamento de pessoa;plena noite;ceu claro;1;3;1;;
2007-07-04;sábado;174;25.0;Ultrapassagem indevida;Capotamento;anoitecer;chuva;0;3;0;;
2007-08-04;domingo;174;24.1;Falta de atenção;Saída de Pista;anoitecer;nublado;0;0;5;;
2007-10-04;terça;174;91.0;Outras;Saída de Pista;anoitecer;chuva;0;0;0;;
